hour_of_day,avg_temp
21,26.693333333333328
19,26.66410256410256
18,26.163265306122444
9,25.87179487179488
17,25.67142857142857
6,25.55263157894737
3,25.530769230769234
14,25.32444444444445
7,25.293023255813956
20,25.287804878048785
11,25.25128205128205
0,25.17692307692308
13,25.08518518518518
2,24.948275862068964
16,24.934782608695652
23,24.722857142857137
15,24.575000000000003
8,24.4090909090909
1,24.34528301886792
22,24.234374999999993
10,24.232558139534884
4,24.11
12,23.797500000000007
5,23.69189189189189
